id,title,type,content,datetime,language
26,all who are thirsty,1,all who are thirsty brenton brown glenn robertson from songs travisgandy cjb net travis gandy all who are thirsty bm all who are weak c come to the fountain am c dip your heart in the stream of life dsus let the pain and the sorrow bm be washed way c in the waves of his mercy am dsus as deep cries out to deep we sing g gsus g c come lord je sus come g gsus g c come lord je sus come g gsus g c come lord je sus come g gsus g c come lord je sus come holy spirit come holy spirit come holy spirit come holy spirit come am c as deep cries out to deep am c as deep cries out to deep am c dsus as deep cries out to deep we sing words and music by brenton brown glenn robertson vineyard songs uk eire admin in by mercy vineyard publishing ccli song id,2017-04-17 15:42:30.355888,en
27,alle,1,alle m bsus alle alleluia to the father to the lord m bsus alle alleluia to the savior forevermore bsus may the path that walk bsus be the path of righteousness bsus may the words from my mouth bsus give you praise bsus may my heart be your home bsus and place of holiness bsus worship you in love bsus lift you lift you up bsus m,2017-05-27 06:41:46.273357,en
28,alleluia,1,everyones part al le lu ia al le lu ia al le lu ia al le lu ia al le lu ia al le lu ia al le lu ia praise the lord alternate above with verses from what friend we have in jesus example what friend we have in je sus all our sins and griefs to bear chorus mens part hold al le lu oo oo oo ia ladys part echo softer hold al le lu oo oo oo ia mens part hold al le lu oo oo oo ia ladys part echo softer hold al le lu oo oo oo ia everyone part praise jes sus king of kings,2018-02-25 08:54:56.400024,en
29,alleluia he is coming,1,alleluia he is coming martha butler looked up and saw my lord comin looked up and saw my lord comin down the road alleluia he is comin alleluia he is here alleluia he is comin alleluia he is here looked up and saw my lord dyin looked up and saw my lord dyin on tree alleluia he is comin alleluia he is here alleluia he is comin alleluia he is here looked up and saw my lord risin looked up and saw my lord risin from the grave alleluia he is risin alleluia he alive alleluia he is risin alleluia he is here one day gonna look up and ll see my lord comin ll look up gonna see my lord comin in the clouds alleluia he is comin alleluia he is here alleluia he is comin alleluia he is here mercy vineyard publishing ascap admin by music services,2017-09-27 01:29:28.248137,en
30,alleluia to the lamb,1,alleluia to the lamb gsus alleluia alleluia alleluia to the lamb x am em dm jesus you re the lover of my soul dm and you wash my ev ry stain am em dm though stumble and fall dm your mercy draws me back again,2018-04-07 09:09:31.731326,en
31,almighty,1,almighty almighty most holy god em faithful through the ages almighty most holy god em glorious almighty god the beasts of the field the birds of the air are silent to call out your name the earth has no voice and have no choice but to magnify god unashamed am let the rocks be kept silent for one more day am let the whole world sing out let the people say well time marches on with the innocence gone and darkness has covered the earth but his spirit dwells he speaks it is well and the hopeless still offered new birth he will break the leash of death it will have no sting let the prisoner go free join the dance and sing,2017-12-01 15:31:25.523539,en
32,almighty / step by step medley,1,almighty step by step medley em em almighty most holy god faithful through the ages em almighty most holy lord glorious almighty god you are my god and will ever praise you god you are my god and will ever praise you em and will seek you in the morning am and will learn to walk in your ways and step by step you lead me and will follow you all of my days,2017-12-01 02:56:41.483905,en
33,"amazing grace (peaceful, easy feeling)",1,amazing grace peaceful easy feeling intro amazing grace how sweet the sound that saved wretch like me once was lost but now am found a was blind but now see chorus and ve got peaceful easy feeling asus and know he won let me down cause already standing on solid ground through many dangers toils and snares have already come tis grace hath brought me safe thus far a and grace will lead me home chorus when we ve been there ten thousand years bright shining as the sun we ve no less days to sing god praise a than when we first begun chorus,2018-12-24 04:39:09.676882,en
34,amazing love,1,amazing love graham kendrick songs travisgandy cjb net travis gandy key verse em my lord what love is this asus dsus that pays so dear ly em that the guilty one may go free chorus am am mazing love what sacrifice the son of god given for me am am my debt he pays and my death he dies am cmj that might live am am that might live verse and so they watched him die despised rejected but oh the blood he shed flowed for me verse and now this love of christ shall flow like rivers come wash your guilt away live again words and music by graham kendrick make way music ascap,2017-01-20 22:30:12.339065,en
35,ancient of days,1,ancient of days a s t v blessing and honor glory and power bm be unto the ancient of days from ev ry nation all of creation bm bow before the ancient of days em ev ry tounge in heaven and earth shall declare your glory em ev ry knee shall bow at your throne in worship em you will be exalted oh god em and your kingdom shall not pass away ancient of days your kingdom shall reign over all the earth am sing unto the ancient of days for none can compare to your matchless worth am sing unto the ancient of days,2018-06-15 20:26:01.123408,en
36,and can it be (revised),1,and can it be revised songs of the great revivals lindell cooley and can be that should gain an interest in my savior blood died for me who caused his pain for me who him to death pursued am em amazing love how can it be that thou my lord should die for me am em amazing love how can it be that thou my lord should die for me long my imprisoned spirit lay fast bound in sin and nature night thine eye diffused quickening ray woke the dungeon flamed with light am em my chains fell off my heart was free rose went forth and followed thee am em my chains fell off my heart was free rose went forth and followed thee no condemnation now dread jesus and all in him is mine alive in him my living head and clothed with righteousness divine am em bold approach the eternal throne and claim the crown through christ my own am em bold approach the eternal throne and claim the crown through christ my own,2019-01-28 12:42:34.062724,en
37,and that my soul knows very well,1,and that my soul knows very well darlene zschech russell fragar from songs travisgandy cjb net travis gandy keys m verse you make your face to shine on me m and that my soul knows very well you lift me up cleansed and free m and that my soul knows very well chorus m when mountains fall ll stand by the pow er of your hand and in your heart of hearts ll dwell m bb and that my soul knows very well verse bb joy and strength each day ll find gm and that my soul knows very well bb forgiveness hope know is mine gm and that my soul knows very well chorus gm when mountains fall ll stand dm by the pow er of your hand bb and in your heart of hearts ll dwell gm and that my soul knows very well ending bb and in your heart of hearts ll dwell gm and that my soul knows very well repeat words and music by darlene zschech russell fragar darlene zschech and russell fragar hillsongs australia ascap admin in canada by integrity hosanna music ccli song id,2017-10-22 03:06:17.431117,en
38,angels we have heard on high,1,angels we have heard on high c angels we have heard on high c sweetly singing er the plains c and the mountains in reply c echoing their joyous strains d gm c bb c glo ria c in excelsis deo d gm c bb c glo ria c in excelsis de,2018-01-02 19:09:37.331023,en
39,anointing fall on me,1,anointing fall on me am dm g anointing fall on me em am dm g anointing fall on me c let the power of the fm holy ghost fall on me g anointing fall on me am touch my hands lord dm g my mouth and my heart em am dm g fill my life lord every part let the power of the fm holy ghost fall on me g anointing fall on me,2018-10-12 06:59:16.045174,en
40,another drink,1,another drink words and music by scott underwood verse m bsus m bsus thirsty lord yes thirsty lord m bsus m bsus thirsty lord for the living waters of life verse want drink want drink want drink of the living waters of life chorus fill me up lord don have to feel it lord make me drunk with your holy spirit verse and ll take drink and ll take drink and ll take drink of the living waters of life chorus fill me up lord don have to feel it lord make me drunk with your holy spirit tired of whisperin ll start to shoutin don want cup lord give me fountain verse m bsus m bsus ll take another drink ll take another drink m bsus m bsus ll take another drink of the living waters of life mercy vineyard publishing ascap admin by music services all rights reserved international copyright secured used by permission ccli,2017-04-30 19:47:45.945939,en
41,anything you ask,1,anything you ask words and music by john willison am anything you ask anywhere you go em am anything you do will follow you any gift you give any word you say any price to pay will follow you you are my everything am all want is you you give the life need am all want is you evanston vineyard music all rights reserved international copyright secured used by permission ccli,2017-05-09 01:06:27.757157,en
42,are you waiting for the trupmet,1,are you waitin for the trumpet are you waitin for the trumpet are ya listnin for the sound will this be the day bm that the savior comes around lord standin ready for your return today listnin for the shout when you come to take us away,2018-05-01 06:00:38.414176,en
43,are you washed in the blood,1,are you washed in the blood elisha hoffman from hupocharis aol com pete graham have you been to jesus for the cleansing power a are you washed in the blood of the lamb are you fully trusting in his grace this hour a are you washed in the blood of the lamb chorus are you washed in the blood a in the soul cleansing blood of the lamb are your garments spotless are they white as snow a are you washed in the blood of the lamb are you walking daily by the savior side are you washed in the blood of the lamb do you rest each moment in the crucified are you washed in the blood of the lamb chorus when the bridegroom cometh will your robes be white pure and white in the blood of the lamb will your souls be ready for the mansions bright and be washed in the blood of the lamb chorus lay aside your garments that are stained with sin and be washed in the blood of the lamb there fountain flowing for the soul unclean be washed in the blood of the lamb chorus,2017-10-21 05:05:25.670367,en
44,arise and sing,1,arise and sing arise and sing ye children of zion for the lord hath delivered thee arise and sing ye children of zion for the lord hath delivered thee open up your hearts and rejoice before him repeat twice for the lord is your god,2017-01-03 13:42:58.515127,en
45,arise in the name of jesus,1,arise in the name of jesus bm bm arise in the name of jesus bm arise in the name of the son bm take your places in battle bm there war to be won bm there war to be won so arise,2018-07-26 08:33:15.136894,en
46,arise my love,1,arise my love dm not word was heard at the tomb that day just shuffling soldiers feet as they gaurded the grave cm one day two days three days had passed em could it be that jesus had breathed his last dm could it be that his father had forsaken him cm turned his back on his son dispising our sin all hell seemed to wisper just forget it he dead em then the father looked down to his son and said arise my love arise my love the grave no longer has hold on you em no more death sting no more suffering arise arise my love arise last time dm the earth trembled and the tomb began to shake dm cm and like lightning from heaven the stone was rolled away and as dead men the guards they all stood there in fright em as the power of love displayed it might then suddenly molody filled the air dm cm riding wings of wind it was everywhere the words that creation had been longing to hear em the sweet sound of victory so loud and clear dm sin where are your shakles death where is your sting dm bb hell has been defeated the grave could not hold the king,2018-05-02 02:51:25.771711,en
47,arise oh lord,1,arise oh lord words and music by kelly carpenter em hear us lord em hear us now lord have mercy em hear our prayer em hear our cry for revival release your power em break our chains set us free let us feel em your joy again set us free am d sus lord come heal us chorus em arise oh lord demonstrate your power em arise oh lord em demonstrate your power dsus demonstrate your pow er mercy vineyard publishing ascap admin by music services all rights reserved international copyright secured used by permission ccli,2018-12-22 02:31:37.368830,en
48,arising,1,arising em em he arising arising in our midst em like mighty man of war clothed in battle armor am waving two edged sword em crushing out our enemies placing them under his feet em so arise oh god arise as em man of war mighty man of war em so arise oh god arise as em man of war,2018-06-01 19:46:18.177152,en
49,arms of love,1,arms of love words and music by craig musseau em sing simple song of love em to my savior to my jesus em grateful for the things you ve done em my loving savior my precious jesus am em my heart is glad that you ve called me your own am em there no place rather be bm than in your arms of love bm in your arms of love em holding me still bm holding me near in your arms of love mercy vineyard publishing ascap admin by music services all rights reserved international copyright secured used by permission ccli,2018-11-15 02:10:53.032575,en
50,army of god,1,army of god words and music by kevin prosch m bsus we are the army of god sons of abraham we are chosen generation under covenant washed by his precious blood m bsus filled with the mighty holy ghost and hear the sound of the coming rain m bsus as we sing the praise to the great am and the sick are healed and the dead will rise m bsus and your church is the army that was prophesied esus esus your church is the army x mercy vineyard publishing ascap admin by music services all rights reserved international copyright secured used by permission ccli,2018-06-24 06:04:08.959044,en
51,army of the lord,1,army of the lord chorus are we walkin into the enemies camp layin our weapons down shedin our armor as we go leavin it on the ground we ve gotta be strong in the power of his might prove to the enemy am we are the army of the lord and we ve won the victory v all around us war is goin on between the wrong and the right we ve got to choose which side we re on the darkness or the light and some of the soldiers of the lord just don realize am that the captain of the army of darkness has come to blind their eyes v can you see that we re in battle there no place to hide our sheilds of faith are full of darts shooting from every side just shake out the darts and run right at em and remember who your fightin for am don fall asleep cause if they catch ya they ll tag ya prisoner of war,2017-04-09 05:38:47.660545,en
52,as david did,1,as david did am em as david did in jehovah sight am em will dance with all my might am before the king of kings am em as miriam did with the tambourine am em will clap my hands and sing am before the king of kings we can come before him am and worship him today we can now adore him am jesus made the way as judah did on the battleground we will make joyful sound before the king of kings as joshua did at jericho we will shout and defeat the foe before the king of kings,2017-04-11 16:04:12.971846,en
53,as i abide in you,1,as abide in you words and music by brian doerksen verse you make my joy complete as abide in you you fill my every need bm as abide in you bridge will remain in you for all of my days bm you will shelter me as give you praise chorus bb will sing of your love bb will bring all of my love verse you answer every prayer as abide in you feel your love and care bm as abide in you mercy vineyard publishing ascap admin by music services all rights reserved international copyright secured used by permission ccli,2017-01-04 01:31:46.194245,en
54,as long as im with jesus,1,as long as with jesus sipes bm it doesn matter if all alone asus as long as with jesus asus asus it doesn matter if weak or strong pass as long as with jesus em young or old high or low bm wherever am and wherever go em it doesn matter to me pass as long as with jesus pass in this life of trouble pass in this world of sorrow bm somehow wonder how ll make it through the day pass and how going to face tomorrow em pass but jesus loves me this know em for the bible tells me so what else can need em what else can want to know,2018-10-26 06:01:59.209783,en
55,as the deer,1,as the deer words and music by nystrom martin am as the deer panteth for the water am so my soul longeth after you am you alone are my heartaa desire am and long to worship you am you alone are my strength my shield dm to you alone will my spirit yield am you alone are my heartaa desire and long to worship you you re my friend and you are my brother even though you are king love you more than any other so much more than anything maranatha music ascap admin by the copyright company all rights reserved international copyright secured used by permission ccli,2017-12-16 03:14:25.421904,en
56,as we gather,1,as we gather lamentations e e as we gather my your spirit work within us e e as we gather may we glorify your name e e knowing well that as our hearts begin to worship e e we ll be blessed because we came e e we ll be blessed because we came e e the steadfast love of the lord never ceases e e his mercies never come to an end e e they are new every morning new every morning e e great is thy faithfulness oh lord e e great is thy faithfulness the steadfast love of the lord lamentations by edith mcneil maranatha music ccli as we gather by mike faye tom coomes maranatha music commesietunes ccli,2017-11-08 05:36:00.197868,en
57,as we seek your face / jesus draw me close,1,as we seek your face jesus draw me close em jesus draw me close dsus closer lord to you em dsus let the world around me fade away em jesus draw me close dsus closer lord to you em gsus for desire to worship and obey em em as we seek your face may we know your heart em feel your presence acceptance as we seek your face em em at your feet we fall sovereign lord em we cry holy ho ly at your feet we fall em jesus draw me close dsus closer lord to you em dsus let the world around me fade away em jesus draw me close dsus closer lord to you em gsus for desire to worship and obey,2017-10-09 08:15:34.488508,en
58,at the cross,1,at the cross words and music by randy and terry butler bm know place wonderful place bm where accused and condemned find mercy and grace bm where the wrongs we have done and the wrongs done to us bm were nailed there with him there on the cross at the cross at the cross gmaj he died for our sin at the cross at the cross gmaj he gave us life again mercy vineyard publishing ascap admin by music services all rights reserved international copyright secured used by permission ccli,2018-05-17 03:34:40.006383,en
59,at the name of jesus,1,at the name of jesus dennis jernigan c bb c c at the name of jesus every knee will bow c he is lord he is lord c bb c c at the name of jesus every tongue will shout he is lord he is lord eb eb bb bb bb he is lord he is lord am blessed be the holy name blessed be the king who reigns blessed be the holy name of jesus am blessed be the holy name blessed be the king who reigns blessed be the holy name of jesus am dm bb praise his holy name ab eb fm eb db bb c bb c bb praise his holy name repeat st verse using you instead of he am blessed be the holy name blessed be the king who reigns blessed be the holy name of jesus am blessed be the holy name blessed be the king who reigns blessed be the holy name of jesus am dm bb praise his holy name ab eb fm eb db bb c bb c bb praise his holy name,2017-12-07 02:30:46.196224,en
60,awaken the song,1,awaken the song words and music by cindy rethmeier awaken the song in me dsus rouse my heart to love refreshing your song in me dsus draw me now to love em em renew passion restore vision am dsus awaken the song in me chorus to sing to you to dance with you am dsus it is good to be near you my god to sing to you to dance with you am dsus it is good to be near you my god will sing to you repeat mercy vineyard publishing admin by music services all rights reserved international copyright secured used by permission ccli,2017-05-14 17:45:22.755028,en
61,away in the manger,1,away in manger bb away in manger no crib for bed the little lord jesus laid down his sweet head bb the stars in the sky looked down where he lay c gm c the little lord jesus asleep on the hay bb be near me lord jesus ask thee to stay close by me forever an love me pray bb bless all the dear children in thy tender care c gm c and fit us for heaven to live with thee there,2017-02-16 11:33:36.270828,en
62,awesome god,1,awesome god words and music by rich mullins oh when he rolls up his sleeves he ain just puttin on the ritz bm m our god is an awesome god there is thunder in his footsteps and lightning in his fists bm m our god is an awesome god bm and the lord wasn joking when he kicked em out of eden m it wasn for no reason that he shed his blood his return is very soon and so you better be believin that bm m our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom pow and love bm m our god is an awesome god and when the sky was starless in the void of the night our god is an awesome god he spoke into the darkness and created the light our god is an awesome god and judgment and wrath he poured out on sodom mercy and grace he gave us at the cross hope that we have not too quickly forgotten that our god is an awesome god bmg songs inc ascap admin by bmg music publishing all rights reserved international copyright secured used by permission ccli,2018-06-28 13:54:29.204926,en
